CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
100000,503,Spain,Male,30,1,108701.25,2,1,0,87474.46,0
100001,805,Spain,Male,48,4,21125.2,2,0,0,10059.28,0
100002,737,France,Female,30,10,89448.34,3,1,0,86066.78,0
100003,378,Germany,Female,51,1,10473.4,3,1,1,161905.12,1
100004,425,France,Female,21,8,18872.05,3,1,1,58664.02,0
100005,861,Germany,Male,70,1,87372.73,4,0,0,123922.01,0
100006,595,Germany,Male,58,4,80954.06,1,1,0,156253.03,1
100007,455,France,Female,71,1,10305.57,2,1,0,56406.93,1
100008,574,Spain,Male,40,0,126725.95,4,1,1,76747.45,0
100009,639,Germany,Female,57,7,54548.43,1,0,0,177479.92,1
100010,880,Germany,Male,30,2,42107.62,3,1,0,49334.72,0
100011,335,Germany,Female,59,8,198855.02,1,1,1,126674.16,1
100012,466,Spain,Male,41,2,23477.92,1,1,0,12896.51,0
100013,458,Germany,Male,48,0,76636.94,4,0,1,131487.86,0
100014,471,France,Male,67,1,50678.84,4,0,1,17168.62,0
100015,420,Germany,Female,72,4,236079.34,4,1,1,112762.69,0
100016,504,France,Male,39,7,59009.96,2,0,0,48790.28,0
100017,648,Spain,Male,36,4,32551.69,3,0,1,35753,0
100018,496,Germany,Female,48,10,85241.98,3,0,1,79859.52,0
100019,685,Germany,Female,40,3,231164.53,1,0,1,192498.28,0
100020,700,Germany,Female,21,9,187374.18,1,1,0,35532.76,0
100021,706,Spain,Female,79,3,122541.75,4,1,1,38376.35,0
100022,366,Germany,Male,77,1,181993.48,1,1,0,77848.25,1
100023,534,Germany,Female,45,5,226685.71,1,0,0,126951.1,0
100024,374,France,Female,78,4,230063.39,2,1,0,59030.76,0
100025,608,France,Female,33,6,237508.46,2,1,0,153303.22,0
100026,561,Spain,Female,45,9,142966.1,1,0,1,73774.68,0
100027,423,Germany,Female,29,4,95010.13,2,0,0,132151.18,0
100028,758,Spain,Female,26,3,100632.82,3,0,0,174864.34,1
100029,404,Spain,Male,53,1,183319.16,3,1,1,177182.42,0
100030,304,Spain,Female,34,1,187478.79,4,1,0,91477.51,0
100031,852,Germany,Male,79,9,158268.25,3,0,0,103672.28,0
100032,757,Germany,Male,80,5,128189.38,1,1,1,11759.11,1
100033,855,Spain,Male,68,6,118352.98,3,0,1,76385.27,1
100034,675,Germany,Male,28,6,124885.31,3,0,0,149078.92,0
100035,797,Germany,Male,58,5,110595.05,3,0,1,161365.74,0
100036,443,France,Female,47,0,111134.14,4,0,0,176558.83,1
100037,766,Germany,Female,42,1,170632.47,2,0,0,30748.49,1
100038,371,Germany,Male,37,10,169399.27,1,1,0,43250.22,0
100039,849,France,Female,78,3,132996.68,3,1,1,72563.18,1
100040,550,France,Female,21,2,152664.81,2,0,1,142539.84,0
100041,748,Spain,Male,52,6,199384.56,3,0,0,178134.16,0
100042,693,Germany,Male,19,5,3041.26,3,1,1,149455.36,0
100043,574,Germany,Female,40,10,72742.09,1,1,1,188248.93,0
100044,824,Spain,Male,37,4,7676.78,1,0,0,111287.53,0
